onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
29-1141.03,121.88,9.24,982.0,98430.0,93600.0,3282010.0,Critical Care Nurses,4.0,0.07581227436823106,0.00029920688846164393,323048244300.0,24491022131.046936,248816.642599278
29-1141.04,121.84,23.07,204.0,98430.0,93600.0,3282010.0,Clinical Nurse Specialists,5.0,0.18934668417596848,6.215703181891585e-05,323048244300.0,61168113887.07321,621437.7109323703
29-1161.00,95.67999999999999,9.61,85.0,128110.0,128790.0,8280.0,Nurse Midwives,5.0,0.10043896321070234,0.010265700483091788,1060750800.0,106540710.57692307,831.6346153846154
29-1171.00,122.31,26.630000000000003,290.0,132000.0,129210.0,307390.0,Nurse Practitioners,5.0,0.21772545172103672,0.0009434269169458993,40575480000.0,8834314711.797892,66926.62660452948
29-1215.00,54.1,18.78,126.9,256830.0,238380.0,107950.0,Family Medicine Physicians,5.0,0.3471349353049908,0.001175544233441408,27724798500.0,9624246133.641405,37473.21626617375
29-1216.00,78.03,17.47,223.9,262710.0,236350.0,66640.0,General Internal Medicine Physicians,5.0,0.22388824810970137,0.00335984393757503,17506994400.0,3919610305.8823524,14919.9128540305
29-1218.00,66.3,24.04,409.9,281130.0,,19900.0,Obstetricians and Gynecologists,5.0,0.3625942684766214,0.020597989949748742,5594487000.0,2028528921.2669683,7215.625942684766
29-1221.00,71.43,12.59,105.4,222340.0,210130.0,42960.0,"Pediatricians, General",5.0,0.17625647487050258,0.002453445065176909,9551726400.0,1683553624.1915162,7571.978160436791
29-1222.00,77.89,17.65,224.0,266020.0,,11800.0,"Physicians, Pathologists",5.0,0.22660161766593911,0.018983050847457626,3139036000.0,711310635.5116189,2673.8990884580817
29-1224.00,78.67999999999999,19.61,359.0,359820.0,,26290.0,Radiologists,5.0,0.2492374173868836,0.013655382274629136,9459667800.0,2357703171.809863,6552.45170310117
